OBJECTID,station_co,station_na,COMID,GNIS_NAME,ATTRIBUTE
31,317ESE,Estrella River @ Estrella River Rd upstream Hwy 46,17649021,Estrella River,R4SBC
32,315FMV,Franklin Creek @ Mountain View Ln,17595477,Franklin Creek,R4SBCx
33,305FUF,Furlong Creek at Frazier Lake Road,948060248, ,
34,309GAB,Gabilan Creek @ Independence Rd and East Boranda Rd,17604473,Gabilan Creek,R2UBHx
35,315GBR,Glen Annie Creek @ Bishop Ranch Rd,17595253, ,PFOA
36,315GAN,Glenn Annie Creek upstream Cathedral Oaks,17595369,Tecolotito Creek,R4SBC
37,312GVS,Green Valley @ Simas Rd,17624125, ,R4SBCx
38,312OFN,Little Oso Flaco Creek @ railroad trestles,17621903, ,R2ABHx
39,305LCS,Llagas Creek @ Southside,948060250,Llagas Creek,
40,305LLA,Llagas Creek at Bloomfield Avenue,948060251,Llagas Creek,PEMCx
41,305LHB,Llagas Creek at Highway 152,17661685,Llagas Creek,
42,305HOL,Llagas Creek at Holsclaw Road (downstream of Leavesley Road),17661685,Llagas Creek,
43,310LBC,Los Berros Creek @ Century,8193043,Los Berros Creek,R4SBCx
44,315LCC,Los Carneros Creek at Calle Real,17595367, ,PFOC
45,315LCR,Los Carneros Creek at Hollister Road,17595367, ,R2UBHx
46,312MAB,Main St Ditch @ Bonita School,17624027, ,R4SBCx
47,312MSS,Main Street Canal at daylight point,, ,
48,312MSD,Main Street Canal at Main Street Crossing,, ,
49,309MER,Merrit Ditch upstream from Hwy 183,17604339, ,R2UBHx
50,314MCM,Miguelito Creek mouth @ treatment plant,17607917,San Miguelito Creek,PFOJ
51,309NAD,Natividad Creek upstream from Salinas Reclamation Canal,17604451,Natividad Creek,PFOC
52,309OLD,Old Salinas River at Monterey Dunes Way,17604291,Old Salinas River,R1UBV
53,312ORI,Orcutt Creek @ Hwy 1,17624121, ,R4SBCx
54,312ORS,Orcutt Creek @ Solomon Rd,17624555,Orcutt Creek,
55,312ORC,Orcutt Creek at sand plant above Santa Maria River,17624017, ,R4SBCx
56,312ORN,Orcutt North Fork Tributary near sand plant,17624043, ,R4SBCx
57,312ORB,Orcutt Solomon Creek at Black Road,17624441,Orcutt Creek,
58,312BSR,Oso Flaco Creek @ Bonita School & Division (south ditch),, ,
59,312OLR,Oso Flaco Creek @ Hwy 1 & Oso Flaco Lake Rd (north ditch),, ,
60,312OSR,Oso Flaco Creek @ Hwy 1 and south RR trestle,17623815, ,R4SBCx
61,312USC,Oso Flaco Creek @ Oso Flaco Lake Rd upstream creek confluence,17621947, ,R2UBHx
62,312OFC,Oso Flaco Creek at Oso Flaco Lake Road,17621947, ,R2UBHx
63,305CHI,Pajaro River at Chittenden Gap,17663281,Pajaro River,PFOA
