"","StationCode","N","turb_median","turb_max","turb_min","turb_quan1","turb_quan25","turb_quan5","turb_quan75","turb_quan9","turb_mean","N.gte.25","pct.gte.25","N.gte.40","pct.gte.40"
"CMWSM01","CMWSM01",21,3.46,673,0.39,0.68,0.98,3.46,16.23,94.3,49.3604761904762,5,23.8095238095238,4,19.047619047619
"GAB-VET","GAB-VET",10,120,2355,0,2.25,72.7,120,151,892.499999999999,378.33,8,80,8,80
"GVWAT1","GVWAT1",109,3.13,1100,0,1.196,2.25,3.13,7.72,25.23,24.1488990825688,11,10.0917431192661,8,7.3394495412844
"GVWAT2","GVWAT2",99,3.62,1100,0.23,1.138,2.14,3.62,7.935,24.47,22.2636363636364,10,10.1010101010101,6,6.06060606060606
"GVWAT3","GVWAT3",107,2.79,1100,0,0.772,1.64,2.79,6.14,17.888,26.7464485981308,7,6.54205607476635,6,5.60747663551402
"GVWBL1","GVWBL1",64,10.045,1100,1.28,3.086,4.56,10.045,26.39,80.91,62.32546875,17,26.5625,10,15.625
"GVWBL2","GVWBL2",51,1.93,1100,0,0.13,0.85,1.93,9.77,197,82.7472549019608,10,19.6078431372549,8,15.6862745098039
"GVWCG1","GVWCG1",106,5.615,1100,2.27,3.155,3.925,5.615,13.16,48.88,31.1266037735849,17,16.0377358490566,14,13.2075471698113
"GVWDV20","GVWDV20",10,6.445,33.53,2.84,3.173,3.7275,6.445,18.9725,22.343,11.593,1,10,0,0
"GVWDV21","GVWDV21",41,6.69,58.6,0.91,1.67,3.65,6.69,16,20.1,11.0670731707317,3,7.31707317073171,1,2.4390243902439
"GVWDV22","GVWDV22",63,4.61,100,0.43,1.304,1.805,4.61,8.625,26.306,9.71857142857143,7,11.1111111111111,4,6.34920634920635
"GVWDV24","GVWDV24",70,11.74,995.67,1.25,2.293,4.665,11.74,44.43,162.06,63.7344285714286,25,35.7142857142857,18,25.7142857142857
"GVWDV25","GVWDV25",51,4.49,268.33,1.65,2.69,3.23,4.49,10.995,31.9,15.5798039215686,6,11.7647058823529,3,5.88235294117647
"GVWGA1","GVWGA1",94,2.68,1100,0.22,0.934,1.35,2.68,7.0425,19.09,21.7802127659574,9,9.57446808510638,6,6.38297872340426
"GVWGA2","GVWGA2",101,2.65,1100,0,0.53,1.09,2.65,6.76,23.2,23.5978217821782,9,8.91089108910891,7,6.93069306930693
"GVWGS1","GVWGS1",91,7.83,1100,1.72,2.59,4.84,7.83,16.915,30.53,26.1746153846154,16,17.5824175824176,7,7.69230769230769
"GVWLC1","GVWLC1",5,2.59,1100,1.08,1.448,2,2.59,3.06,661.224,221.746,1,20,1,20
"GVWLC2","GVWLC2",87,1.65,127.67,0,0.21,0.69,1.65,4.26,13.948,7.70471264367816,8,9.19540229885057,6,6.89655172413793
"GVWLV1","GVWLV1",44,3.995,400.33,0.18,0.591,1.44,3.995,7.9475,21.022,17.6440909090909,4,9.09090909090909,3,6.81818181818182
"GVWMY1","GVWMY1",36,6.35,1100,0.26,0.81,2.1975,6.35,27.1725,105.935,67.5136111111111,10,27.7777777777778,8,22.2222222222222
"GVWMY2","GVWMY2",57,1.49,470.33,0,0.188,0.46,1.49,8.21,20.542,16.7542105263158,5,8.7719298245614,4,7.01754385964912
"GVWSJ1","GVWSJ1",60,2.25,1100,0,0.251,0.725,2.25,9.665,73.217,58.3795833333333,9,15,7,11.6666666666667
"GVWSJ2","GVWSJ2",98,1.395,1100,0,0.134,0.665,1.395,4.3,13.592,19.2515816326531,7,7.14285714285714,5,5.10204081632653
"GVWSP1","GVWSP1",69,2.41,1100,0,0.3,0.7,2.41,9.45,58.57,31.2386956521739,10,14.4927536231884,8,11.5942028985507
"GVWSP3","GVWSP3",62,1.94,321.67,0,0.222,0.775,1.94,11.05,34.393,15.8185483870968,8,12.9032258064516,6,9.67741935483871
"GVWTC1","GVWTC1",58,5.43,313,0.45,1.068,3.8325,5.43,16.945,54.7550000000001,23.4365517241379,9,15.5172413793103,8,13.7931034482759
"GVWTC2","GVWTC2",37,2.13,1100,0,0.444,0.97,2.13,15.7,64.692,70.6345945945946,7,18.9189189189189,5,13.5135135135135
"HMS-Storm Water Comp","HMS-Storm Water Comp",1,66,66,66,66,66,66,66,66,66,1,100,1,100
"MAINSEA1","MAINSEA1",1,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0,0,0,0
"MS-3000-000","MS-3000-000",13,108,737,17.5,20.92,51.5,108,253.1,527.4,214.930769230769,11,84.6153846153846,10,76.9230769230769
"NAT-LAS","NAT-LAS",10,114.15,1478,32.5,40.24,48.825,114.15,370.425,568.1,301.97,10,100,9,90
"RD-1200-000","RD-1200-000",4,31.75,51.5,3.8,10.73,21.125,31.75,40.325,47.03,29.7,3,75,1,25
"RD-6000-000","RD-6000-000",5,250,1094,120,144.8,182,250,737,951.2,476.6,5,100,5,100
"SEA-4","SEA-4",1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0
