comid,monitored
17641224,1
17636950,1
17636914,1
17636826,1
17636828,1
17637890,1
17636980,1
17636922,1
17636912,1
17636478,1
17636472,1
17636476,1
17636406,1
948060212,1
17636884,1
17637088,1
17637086,1
17637914,1
17637082,1
17637258,1
17637308,1
17636960,1
17636990,1
17637022,1
17636906,1
17636806,1
17636822,1
17637024,1
17636992,1
17636926,1
17636920,1
17636474,1
17636482,1
17636436,1
17636438,1
17636392,1
17636394,1
17636858,1
17636860,1
17636938,1
17636968,1
17637918,1
17637916,1
17637922,1
17637920,1
17637260,1
17637316,1
17637952,1
17637956,1
17636998,1
17636970,1
17637010,1
17637030,1
17637882,1
17637884,1
17636928,1
17636894,1
17636852,1
17636810,1
17637892,1
17637894,1
17636958,1
17636918,1
17636468,1
17636466,1
17636514,1
17636512,1
17636410,1
17636818,1
17636820,1
17636936,1
17636986,1
17637214,1
17637268,1
17637340,1
17637404,1
17637968,1
948060341,1
17637424,1
17637368,1
17637888,1
17637886,1
17636932,1
17637002,1
17637856,1
17637860,1
17636580,1
17637848,1
17636368,1
17636838,1
17636804,1
17636996,1
17636984,1
17637208,1
17637206,1
17637394,1
17637970,1
17637354,1
17637964,1
948060340,1
948060339,1
17637050,1
17637048,1
17636330,1
17636526,1
17636878,1
17636836,1
17636772,1
17637000,1
17636988,1
17637180,1
17637234,1
17637412,1
17637358,1
17637356,1
17637352,1
17637400,1
17637436,1
17637430,1
17637058,1
17637064,1
17636354,1
17636328,1
17637878,1
17636934,1
948060101,1
17636786,1
17637870,1
17636760,1
17637172,1
17637178,1
17637392,1
17637966,1
17637962,1
17637976,1
17637982,1
17637462,1
17637468,1
17637492,1
17637494,1
17637454,1
17637076,1
17637062,1
17637154,1
17637110,1
17636346,1
17636348,1
17636916,1
17636886,1
17636868,1
17636766,1
17636782,1
17636752,1
17636754,1
17637132,1
17637134,1
17637440,1
17637422,1
17637346,1
17637420,1
17637958,1
17637960,1
17637386,1
17637446,1
17637078,1
17637144,1
17636548,1
17636430,1
17636882,1
17636874,1
17637872,1
17637874,1
17636770,1
17636762,1
17636736,1
17636734,1
17637866,1
17636702,1
17637060,1
17637056,1
17637442,1
17637484,1
17637322,1
17637344,1
948060338,1
17637396,1
17637428,1
17637090,1
17637074,1
17637146,1
17637054,1
17637938,1
17637486,1
17637466,1
17637338,1
17637382,1
948060337,1
17637298,1
17637984,1
17637490,1
17637084,1
17637080,1
17637220,1
17637228,1
17637904,1
17637896,1
17637296,1
17637294,1
17637410,1
17637388,1
17637330,1
17637328,1
17637282,1
17637284,1
17637504,1
17637470,1
17637500,1
17637502,1
17637120,1
17637106,1
17637052,1
17637068,1
17637244,1
17637248,1
17637240,1
17637242,1
17637378,1
17637364,1
17637974,1
17637156,1
17637158,1
17637202,1
17637148,1
17637310,1
17637948,1
17637362,1
17637390,1
17637278,1
17637280,1
17637370,1
17637360,1
17637480,1
17637458,1
17637224,1
17637226,1
17637366,1
17637374,1
17637334,1
17637336,1
17637498,1
17637990,1
17637198,1
17637200,1
17637348,1
17637332,1
17637384,1
17637318,1
17637320,1
17637306,1
17637304,1
17637992,1
17637520,1
17637136,1
17637138,1
17637972,1
17637950,1
17637980,1
17637418,1
17637204,1
17637946,1
17637112,1
17637114,1
17637514,1
17637510,1
17637406,1
17637398,1
17637314,1
17637312,1
17637182,1
17637944,1
17637188,1
17637190,1
17637924,1
17637926,1
17637522,1
17637516,1
17637414,1
17637408,1
17637372,1
