"","StationCode","N","turb_median","turb_max","turb_min","turb_quan1","turb_quan25","turb_quan5","turb_quan75","turb_quan9","turb_mean","N.gte.25","pct.gte.25","N.gte.40","pct.gte.40"
"309SDCMCC","309SDCMCC",1,6.58,6.58,6.58,6.58,6.58,6.58,6.58,6.58,6.58,0,0,0,0
"309SDR","309SDR",34,1.55,55.2,0,0,0,1.55,4.6,9.72,5.22323529411765,2,5.88235294117647,1,2.94117647058824
"309SEC","309SEC",14,1.2,8,0.1,0.1,0.56,1.2,3.175,5.37,2.19642857142857,0,0,0,0
"309SED071","309SED071",4,0.345,0.57,0.16,0.202,0.265,0.345,0.435,0.516,0.355,0,0,0,0
"309SET","309SET",8,1.1,2.4,0.1,0.31,0.4225,1.1,1.4,1.91,1.06625,0,0,0,0
"309SOS","309SOS",3,437,852,427,429,432,437,644.5,769,572,3,100,3,100
"309SSP","309SSP",42,36.85,326.2,1.4,10.43,24.325,36.85,57.9,84.12,53.1380952380952,31,73.8095238095238,20,47.6190476190476
"309SUN","309SUN",4,2.3,21.5,1.2,1.53,2.025,2.3,7.1,15.74,6.825,0,0,0,0
"309TDW","309TDW",76,125.25,500.9,0.16,28.55,59.325,125.25,183.35,251.65,135.270526315789,70,92.1052631578947,64,84.2105263157895
"309TEH","309TEH",69,88.2,3000,5.9,26.7,57.1,88.2,159.4,221.04,157.530434782609,62,89.8550724637681,57,82.6086956521739
"309TEM","309TEM",17,53.7,302.8,8.9,24.6,37.9,53.7,86.9,126.48,74.9647058823529,15,88.2352941176471,12,70.5882352941177
"309UAL","309UAL",3,75,110,44,50.2,59.5,75,92.5,103,76.3333333333333,3,100,3,100
"309UQA","309UQA",4,103.55,2384,4.6,6.7,9.85,103.55,742.625,1727.45,648.925,2,50,2,50
"309USA","309USA",21,5.4,254.1,0,0.1,1.7,5.4,7.2,17,17.2571428571429,1,4.76190476190476,1,4.76190476190476
"309WLCATC","309WLCATC",1,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,0,0,0,0
"310ADC","310ADC",34,0.175,34.2,0,0,0,0.175,0.6,2.74,1.695,1,2.94117647058824,0,0
"310ADU","310ADU",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"310AGB","310AGB",14,1.7,6.6,0,0.1,0.115,1.7,2.975,5.83,2.15428571428571,0,0,0,0
"310AGF","310AGF",14,1.25,9.3,0,0.121,0.45,1.25,3.325,6.89,2.54071428571429,0,0,0,0
"310AGS","310AGS",15,1.9,10.4,0,0,0.125,1.9,4.9,9.64,3.25666666666667,0,0,0,0
"310APN","310APN",31,0.65,2.55,0.24,0.33,0.41,0.65,1.17,1.86,0.890645161290323,0,0,0,0
